,Brand,Model,Price(CAD),Price_save(CAD),Memory-Built-in(GB),Ram_size(GB),Display_resolution(pixels),Display_size(in),Colour,CPU,Front-Facing Camera Resolution(MP),Rear Camera Resolution(MP)  
880,APPLE,iPhone 6s,245.0, 494,128,2.0,1334 x 750,4.7,Rose Gold,Apple A9,0.72,12.0
881,NO BRAND,no model,279.0, 460,128,2.0,1334 x 750,4.7,Rose Gold,Apple A9,0.72,12.0
882,APPLE,iPhone 6s,245.0, 494,128,2.0,1 334 x 750,4.7,Silver; White,A9 chip with 64-bit&nbsp;architecture,5.0,12.0
883,APPLE,iPhone 6,285.0, 614,16,1.0,1920 x 1080,5.5,Silver,Apple A8,1.2,8.0
884,APPLE,iPhone 6s,279.0, 460,128,2.0,1334 x 750,4.7,Space Gray,Apple A9,0.72,12.0
886,APPLE,iPhone 6s,325.0, 474,64,2.0,1920 x 1080,5.5,Gold,Apple A9,0.72,12.0
887,APPLE,iPhone 7,398.63, 390,32,3.0,1080 x 1920,5.5,Silver,Apple A10 Fusion,7.0,24.0
888,APPLE,iPhone 7,499.0, 810,256,3.0,1080 x 1920,5.5,Rose Gold,Apple A10 Fusion,7.0,24.0
889,APPLE,iPhone 6s,285.0, 514,64,2.0,1920 x 1080,5.5,Silver,Apple A9,0.72,12.0
891,APPLE,iPhone 6S,245.0, 494,64,2.0,1334 x 750,4.7,Rose Gold,Apple A12 Bionic,5.0,12.0
892,APPLE,iPhone 6s,279.0, 460,128,2.0,1334 x 750,4.7,Silver,Apple A9,0.72,12.0
896,APPLE,iPhone XS,1179.0, 550,256,4.0,2688 x 1242,6.5,Gold,Apple A12 Bionic,7.0,24.0
898,APPLE,iPhone 8,575.0, 174,64,3.0,1920 x 1080,5.5,Gold,Apple A11 Bionic,7.0,12.0
899,APPLE,iPhone 7,411.94, 377,32,3.0,1080 x 1920,5.5,Black,Apple A10 Fusion,7.0,24.0
901,APPLE,iPhone XR,679.0, 120,64,3.0,1792 x 828,6.1,Coral,Apple A12 Bionic,7.0,12.0
902,APPLE,iPhone 6,329.0, 1050,128,1.0,1920 x 1080,5.5,Space Gray,Apple A8,1.2,8.0
903,APPLE,iPhone 6s,269.0, 470,32,2.0,1920 x 1080,5.5,Silver,Apple A9,0.72,12.0
904,APPLE,iPhone XS,1035.0, 554,256,4.0,2436 x 1125,5.8,Space grey,Apple A12 Bionic,7.0,24.0
907,APPLE,iPhone 6,289.0, 740,64,1.0,1920 x 1080,5.5,Space Gray,Apple A8,1.2,8.0
908,APPLE,iPhone 6s,319.0, 550,128,2.0,1920 x 1080,5.5,Gold,Apple A9,0.72,12.0
909,APPLE,iPhone 7,499.0, 810,256,3.0,1080 x 1920,5.5,Jet Black,Apple A10 Fusion,7.0,24.0
